Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
52,57,109,Te,-67715.399,8319.3305,23201.0,3781.1028,10005.0412,2559.0296,3197.6861,-10042.8941,,,,,,,52,57,109,2,30,7,25,0,1,9,0
53,56,109,I,-57672.505,8220.0164,24385.0,1597.199,12973.0,-820.1999,3918.0699,-11502.9589,,,,,,,53,56,109,3,29,6,26,1,0,9,0
54,55,109,Xe,-46169.546,8107.3071,,90.0,11608.5079,687.0,4217.0463,,,,,,,,54,55,109,4,28,5,27,0,1,9,0
40,70,110,Zr,-42220.0,8171.0,7413.0,,4561.0,17029.0,-10344.0,10090.0,,,,,,,40,70,110,10,42,20,12,0,0,22,1
41,69,110,Nb,-52309.914,8255.2607,8907.3528,30108.0,3691.4328,13869.0,-8944.0,12225.9002,,,,,,,41,69,110,9,41,19,13,1,1,22,0
42,68,110,Mo,-64535.814,8359.293,9929.1532,28164.0,5947.8479,15134.986,-8211.0,6498.7491,,,,,599.6914,2.805298192926076,42,68,110,8,40,18,14,0,0,22,1
43,67,110,Tc,-71034.564,8411.2603,11254.3692,26067.308,4823.0531,11664.25,-7256.8012,9038.0654,,,,,,,43,67,110,7,39,17,15,1,1,22,0
44,66,110,Ru,-80072.629,8486.3123,12553.8611,23901.2737,7405.4918,13078.7716,-6369.5417,2756.0638,240.71,1.107,0.299,469.0,663.359,2.755522601334231,44,66,110,6,38,16,16,0,0,22,1
45,65,110,Rh,-82828.693,8504.2551,13940.1732,21483.8044,5900.7599,9379.2087,-5477.3562,5502.2116,,,,,,,45,65,110,5,37,15,17,1,1,20,0
46,64,110,Pd,-88330.904,8547.163,14949.3252,19247.4425,8795.7387,10620.6245,-4432.5678,-873.5982,373.8,0.64,0.218,121.0,920.781,2.463252427054603,46,64,110,4,36,14,18,0,0,18,1
47,63,110,Ag,-87457.306,8532.1089,15993.1508,17004.0926,6809.1936,7139.7935,-3519.5657,2890.6633,,,,,,,47,63,110,3,35,13,19,1,1,16,0
